num,address,lat,lon,tel,name,wilaya,code
"17","BOUKADIR,Cité 30 Logements,Chlef",36.060248,1.1305809,"27749506",Direction IMPOTS,Chlef,"2"
"18","CHLEF,Boulevard Des Martyrs,Chlef",36.1664524,1.3326435,"27778107",Direction IMPOTS,Chlef,"2"
"19","BOUKADIR,Boukadir,Chlef",36.060248,1.1305809,"27749238",Direction IMPOTS,Chlef,"2"
"21","OUED FODDA,Chlef",36.1884187,1.5328078,027 44 70 18  - 027 44 74 31  - 027 44 74 32,Direction IMPOTS,Chlef,"2"
"22","OUED FODDA,Oued Fodda,Chlef",36.1884187,1.5328078,"27448428",Direction IMPOTS,Chlef,"2"
"23","OUM DROU,Centre Ville,Chlef",36.1977011,1.3903197,"27429442",Direction IMPOTS,Chlef,"2"
"24","BOUKADIR,Chlef",36.060248,1.1305809,027 74 93 20  - 027 74 93 23,Direction IMPOTS,Chlef,"2"
"25","EL KARIMIA,Rue Principale,Chlef",36.111108,1.5535633,"27709510",Direction IMPOTS,Chlef,"2"
"26","CHETTIA,Village Socialiste Agricole,Chlef",36.1944323,1.2568799,"27731707",Direction IMPOTS,Chlef,"2"
"27","BOUZGHAIA,Bouzeghaia,Chlef",36.3411119,1.2394432,"27720016",Direction IMPOTS,Chlef,"2"
"28","TENES,Rue Cousin Koubili,Chlef",36.5081163,1.3078225,"27767419",Direction IMPOTS,Chlef,"2"
"29","CHLEF,Rue Aspirant Dahmane,Chlef",36.1698926,1.3359044,"27772935",Direction IMPOTS,Chlef,"2"
"30","SIDI AKKACHA,Sidi Akacha,Chlef",36.4625212,1.3020848,"27760116",Direction IMPOTS,Chlef,"2"
"31","SIDI AKKACHA,Chlef",36.4625212,1.3020848,027 76 03 42  - 027 76 06 18,Direction IMPOTS,Chlef,"2"
"32","OULED FARES,Ouled Fares,Chlef",36.2309293,1.2341846,027 72 00 81  - 027 72 94 13  - 027 78 90 87,Direction IMPOTS,Chlef,"2"
"33","CHLEF,Rue Aspirant Dahmane,Chlef",36.1698926,1.3359044,027 77 78 30  - 027 79 08 09,Direction IMPOTS,Chlef,"2"
"34","CHLEF,Place de Solidarité,Chlef",36.1579664,1.3372823,"27775541",Direction IMPOTS,Chlef,"2"
"35","CHLEF,Cité 57 Logements OPGI,Chlef",36.1656697,1.334188,027 77 24 85  - 027 77 81 52  - 027 77 82 09  - 027 77 83 73,Direction IMPOTS,Chlef,"2"
"36","CHLEF,Hai Bensouna,Chlef",36.1609205,1.3155951,"27776175",Direction IMPOTS,Chlef,"2"
"37","CHLEF,Cité Olympique,Chlef",36.1609205,1.3155951,"27776302",Direction IMPOTS,Chlef,"2"
"38","CHLEF,Cité Benourane,Chlef",36.1464129,1.3131548,"27771149",Direction IMPOTS,Chlef,"2"
"40","CHLEF,Hai Ennasr,Chlef",36.1579664,1.3372823,"27773727",Direction IMPOTS,Chlef,"2"
"41","CHLEF,Boulevard Des Martyrs,Chlef",36.1664524,1.3326435,027 77 00 03  - 027 77 19 19  - 027 77 19 56  - 027 77 20 20  - 027 77 20 58  - 027 77 33 81  - 027 77 61 76  - 027 77 62 36  - 027 77 62 97  - 027 77 62 98  - 027 77 71 06  - 027 77 82 86  - 027 77 87 47  - 027 79 84 98,Direction IMPOTS,Chlef,"2"
"42","ILOT 128,AFLOU,Hai EL MOUSTAKBAL,Laghouat",34.1139518,2.0973854,029 17 60 76  - 029 17 60 77  - 029 17 60 78  - 029 17 60 80  - 029 17 60 85,. IMPOTS Direction,Laghouat,"3"
"43","HASSI R'MEL,Cité DAIRA,Laghouat",32.9276121,3.2712646,029 18 85 68  - 029 18 85 70,. IMPOTS Direction,Laghouat,"3"
"44","HASSI R'MEL,Cité 200 logements,Laghouat",32.9276121,3.2712646,029 18 25 76  - 029 18 25 77  - 029 18 25 78,. IMPOTS Direction,Laghouat,"3"
"45","LAGHOUAT,Route El Kheneg,Laghouat",33.800128,2.8563323,029 10 23 30  - 029 10 23 31,. IMPOTS Direction,Laghouat,"3"
"46","AFLOU,Cité Administrative,Laghouat",34.1139518,2.0973854,029 16 62 51  - 029 16 62 52,. IMPOTS Direction,Laghouat,"3"
"47","14,LAGHOUAT,Cité 200 logements Saci BOULAF,Laghouat",33.8078341,2.8628294,"29106665",impots direction des imots,Laghouat,"3"
"48","LAGHOUAT,Cité 200 logements Saci BOULAF,Laghouat",33.8078341,2.8628294,029 10 58 60  - 029 10 59 61,. IMPOTS Direction,Laghouat,"3"
"49","AIN MADHI,Lotissement DOUAYER,Laghouat",33.7986775,2.3074412,"29130482",. IMPOTS Direction,Laghouat,"3"
"50","LAGHOUAT,Boulevard BEN SALEM Hadj Ahmed,Laghouat",33.8078341,2.8628294,"29132541",. IMPOTS Direction,Laghouat,"3"
"51","TADJMOUT,Cité TADJMOUT,Laghouat",33.8806065,2.5261564,029 13 60 73  - 029 13 65 69  - 029 13 65 74,. IMPOTS Direction,Laghouat,"3"
"52","LAGHOUAT,Cité universitaire,Laghouat",33.8025084,2.8556728,029 14 53 36  - 029 14 53 38  - 029 14 53 39  - 029 14 53 41,. IMPOTS Direction,Laghouat,"3"
"53","ILOT 358,LAGHOUAT,Maamourah,Laghouat",33.7972499,2.8657376,"29132643",direction des impots direction des impots,Laghouat,"3"
"54","LAGHOUAT,Maamourah,Laghouat",33.8078341,2.8628294,029 13 23 36  - 029 13 23 38  - 029 13 23 39  - 029 13 23 40  - 029 13 25 48  - 029 13 25 51  - 029 13 25 59  - 029 14 65 26,. IMPOTS Direction,Laghouat,"3"
"55","KSAR EL HIRANE,KSAR EL HIRANE,Laghouat",33.7847662,3.1328011,029 12 25 59  - 029 12 25 60  - 029 12 25 61  - 029 12 27 29  - 029 12 27 30  - 029 12 27 31  - 029 12 27 32  - 029 12 27 63,. IMPOTS Direction,Laghouat,"3"
"56","LAGHOUAT,Boulevard de l'indépendance,Laghouat",33.8008903,2.8713477,029 13 25 49  - 029 13 25 50  - 029 13 25 52  - 029 13 25 53  - 029 13 25 54  - 029 13 25 55  - 029 13 25 56,. IMPOTS Direction,Laghouat,"3"
"57","OUM EL BOUAGHI,Direction Protection Civil,Oum El Bouaghi",35.8793349,7.0967446,"32563731",. IMPOTS,Oum El Bouaghi,"4"
"58","OUM EL BOUAGHI,Rte Constantine,Oum El Bouaghi",35.8688789,7.1108266,"32563454",. IMPOTS,Oum El Bouaghi,"4"
"59","OUM EL BOUAGHI,Rte Khenchela,Oum El Bouaghi",35.8688789,7.1108266,032 55 05 62  - 032 55 06 36  - 032 55 90 05  - 032 55 90 06  - 032 55 90 11,. IMPOTS,Oum El Bouaghi,"4"
"60","OUM EL BOUAGHI,Oum El Bouaghi,Oum El Bouaghi",35.8688789,7.1108266,032 55 12 76  - 032 55 12 78,. IMPOTS,Oum El Bouaghi,"4"
"61","AIN KERCHA,Rue Travalleurs,Oum El Bouaghi",35.8693177,7.1099466,"32511261",. DIRECTION DES IMPOTS,Oum El Bouaghi,"4"
"62","OUM EL BOUAGHI,Cite Essaada 1,Oum El Bouaghi",35.8688789,7.1108266,032 55 06 72  - 032 55 08 08,. IMPOTS,Oum El Bouaghi,"4"
"63","1,AIN FAKROUN,Route De Constantine,Oum El Bouaghi",35.9772098,6.8733714,032 57 56 91  - 032 57 57 06,. IMPOTS,Oum El Bouaghi,"4"
"64","334,AIN M'LILA,Cité Gouadjelia,Oum El Bouaghi",36.0343972,6.5737863,"32524471",. DIRECTION DES IMPOTS,Oum El Bouaghi,"4"
"65","10,AIN FAKROUN,Cite Essalem,Oum El Bouaghi",35.9772098,6.8733714,032 57 56 20  - 032 57 56 21,. IMPOTS,Oum El Bouaghi,"4"
"66","225,AIN FAKROUN,Rue Bouabellah Derradji,Oum El Bouaghi",35.9772098,6.8733714,"32574844",. IMPOTS,Oum El Bouaghi,"4"
"67","OUM EL BOUAGHI,Rue Houari Boumediene,Oum El Bouaghi",35.8678614,7.1040438,"32549324",. IMPOTS,Oum El Bouaghi,"4"
"68","AIN M'LILA,Cite HLM,Oum El Bouaghi",36.0343972,6.5737863,032 50 22 65  - 032 50 22 66  - 032 50 66 75,. DIRECTION DES IMPOTS,Oum El Bouaghi,"4"
"69","AIN M'LILA,Cité Gouadjelia,Oum El Bouaghi",36.0343972,6.5737863,032 52 47 74  - 032 52 47 77  - 032 52 47 78,. DIRECTION DES IMPOTS,Oum El Bouaghi,"4"
"70","OUM EL BOUAGHI,Ave H.Boumediene,Oum El Bouaghi",35.8669695,7.1152607,032 54 16 83  - 032 54 16 88  - 032 54 16 90  - 032 54 16 91  - 032 54 17 00  - 032 54 17 01  - 032 54 97 79  - 032 54 98 99  - 032 55 11 05  - 032 55 12 25  - 032 55 12 33  - 032 55 12 34  - 032 55 12 57  - 032 55 12 70  - 032 55 12 74  - 032 55 12 92  - 032 55 12 95,. IMPOTS,Oum El Bouaghi,"4"
"71","AIN FAKROUN,Route De Constantine,Oum El Bouaghi",35.9772098,6.8733714,032 57 58 63  - 032 57 58 70,. IMPOTS,Oum El Bouaghi,"4"
"72","OUM EL BOUAGHI,Siege D'impots Nouvelle Ville,Oum El Bouaghi",35.8716117,7.0966741,"32541692",. IMPOTS,Oum El Bouaghi,"4"
"73","243,AIN FAKROUN,Cite 300 Logts De La Gare,Oum El Bouaghi",35.9772098,6.8733714,"32575004",. IMPOTS,Oum El Bouaghi,"4"
"74","RAS EL AIOUN,Centre Ville,Batna",35.681438,5.6545312,"33372757",Batna DIRECTION DES IMPOTS,Batna,"5"
"75","TAZOULT,Cité 200 Logts,Batna",35.6320745,5.9131539,"33321408",Batna DIRECTION DES IMPOTS,Batna,"5"
"76","TENIET EL ABED,Cite Draa Taga,Batna",35.2835021,6.2507268,033 34 10 22  - 033 34 10 29  - 033 34 11 40,. RECETTE DES IMPOTS TENIET ELABED,Batna,"5"
"77","TENIET EL ABED,Cite 76 Logts,Batna",35.2835021,6.2507268,"33341153",Batna DIRECTION DES IMPOTS,Batna,"5"
"78","6,MEROUANA,Rue Du Lycee,Batna",35.6348418,5.909114,"33400733",Batna DIRECTION DES IMPOTS,Batna,"5"
"79","27,MEROUANA,Rue Du Lycee,Batna",35.6328904,5.9051916,"33400869",MEROUANA RECETTE DES IMPOTS,Batna,"5"
"80","4,AIN TOUTA,Rue 5 Juillet,Batna",35.3808071,5.9020128,"33353127",Batna DIRECTION DES IMPOTS,Batna,"5"
"81","6,EL MADHER,Rue Bahloul Khoudir,Batna",35.6274186,6.3733989,033 26 90 84  - 033 26 94 94,El Madher IMPOTS Recette Des Contributions Diverses,Batna,"5"
"82","OUED CHAABA,Cité HAMLA 3,Batna",35.5316642,6.0931652,033 31 66 86  - 033 31 66 87,Batna DIRECTION DES IMPOTS,Batna,"5"
"83","BARIKA,Avenue 8 Mai 45,Batna",35.3877747,5.3703633,033 39 19 71  - 033 39 19 72,. CENTRE DE PROXIMITE DES IMPOTS BARIKA,Batna,"5"
"84","ARRIS,Rue Ahmed Abderezzak,Batna",42.3770029,-71.1166601,033 34 31 21  - 033 34 31 23  - 033 34 31 67,. RECETTE DES IMPOTS ARRIS,Batna,"5"
"85","BATNA,Allée Benboulaid,Batna",35.5556579,6.1777899,033 80 30 09  - 033 80 68 83,Batna DIRECTION DES IMPOTS,Batna,"5"
"86","ARRIS,Rue Ben Boulaid,Batna",35.2585588,6.3490362,"33343119",Batna DIRECTION DES IMPOTS,Batna,"5"
"87","BATNA,Rue De La Verdure,Batna",35.5543632,6.1729601,"33316688",Batna DIRECTION DES IMPOTS,Batna,"5"
"88","BATNA,Cité Bordj El Ghola,Batna",35.5634192,6.1889996,033 80 34 43  - 033 80 66 28  - 033 80 73 85  - 033 81 30 77  - 033 81 44 11,Batna DIRECTION DES IMPOTS,Batna,"5"
"89","BATNA,Cité Administrative,Batna",35.5564045,6.1704259,033 80 23 41  - 033 80 27 25  - 033 80 37 08,Batna DIRECTION DES IMPOTS,Batna,"5"
"90","EL MADHER,Batna",35.6274186,6.3733989,033 26 91 04  - 033 26 91 89,El Madher IMPOTS Recette Des Contributions Diverses,Batna,"5"
"91","MEROUANA,Batna",35.6299464,5.9118713,"33400718",MEROUANA RECETTE DES IMPOTS,Batna,"5"
"92","MEROUANA,Cité 75 Logts,Batna",35.6260345,5.9130714,"33402541",MEROUANA RECETTE DES IMPOTS,Batna,"5"
"94","ILOT 104,TICHY,Route De Plage,Bejaia",36.6550461,5.1638936,"34815398",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"95","ILOT 54,SEDDOUK,Place De La Mairie,Bejaia",36.5467873,4.6867022,"34893304",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"96","ILOT 942,BEJAIA,Lotissement Daouadji,Bejaia",36.7515258,5.0556837,034 12 50 19  - 034 12 50 44,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"97","KHERRATA,Cite Douasla,Bejaia",36.4936399,5.2770714,034 18 52 86  - 034 18 54 33,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"98","KHERRATA,Kherrata (Centre ),Bejaia",36.4936399,5.2770714,"34392423",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"99","ILOT 865,BEJAIA,Lotissement Sidi Ali L'Bhar,Bejaia",36.7266653,5.0715808,"34183525",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"100","BEJAIA,Rue Aissat Idir,Bejaia",36.751971,5.0839193,034 16 61 92  - 034 16 62 53  - 034 16 62 54  - 034 16 62 57  - 034 16 62 60  - 034 16 62 64  - 034 17 47 49  - 034 18 33 11,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"101","EL KSEUR,Cite Casorec,Bejaia",36.6775376,4.8492903,"34823698",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"102","TAZMALT,Centre Ville Tazmalt,Bejaia",36.3903818,4.3954971,"34317154",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"103","BEJAIA,Route Des Concessions,Bejaia",36.7404457,5.0600127,"34166258",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"104","EL KSEUR,El Kseur (Centre ),Bejaia",36.6775376,4.8492903,034 13 54 21  - 034 13 54 22  - 034 13 54 23  - 034 13 54 24  - 034 13 54 25  - 034 13 54 26  - 034 13 54 27  - 034 13 54 28,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"105","BEJAIA,Residence La montagne Tala Oua,Bejaia",36.8225012,4.9491209,"34189309",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"106","KHERRATA,Route National N°9,Bejaia",36.4936399,5.2770714,034 18 52 80  - 034 18 52 81  - 034 18 52 83,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"107","SOUK EL TENINE,Souk El Tenine ( Centre ),Bejaia",36.6279732,5.3351901,034 84 71 56  - 034 84 71 71,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"108","ILOT 940,BEJAIA,Boulevard De L'ALN,Bejaia",36.7513597,5.0594982,"34125123",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"109","AKBOU,Village Akbou,Bejaia",36.4556403,4.5365087,"34334443",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"110","TAZMALT,Tazmalt,Bejaia",36.3903818,4.3954971,"34314324",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"111","TAZMALT,Boulevard Mira Abderahmane,Bejaia",36.3903818,4.3954971,034 31 71 50  - 034 31 71 51,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"112","TAZMALT,Bejaia",36.3903818,4.3954971,"34311353",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"113","1,AKBOU,Gare Routiere,Bejaia",36.4640151,4.5298113,034 36 05 84  - 034 36 05 85  - 034 36 05 86  - 034 36 05 89  - 034 36 05 99,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"114","40c,EL KSEUR,Place Du Marche,Bejaia",36.6775376,4.8492903,"34135376",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"115","BEJAIA,Lotissement Sidi Ali L'Bhar,Bejaia",36.7290799,5.0745249,034 18 35 95  - 034 18 36 23  - 034 18 36 31  - 034 18 36 36  - 034 18 36 53,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"116","SIDI AICH,Rue Hadjout Said,Bejaia",36.6097178,4.6901722,"34860388",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"117","AMIZOUR,Residence Amizour Centre,Bejaia",36.6626637,4.9154069,"34824274",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"118","LYCEE,BEJAIA,Boulevard De L'ALN,Bejaia",36.7608658,5.0680718,034 12 50 42  - 034 12 58 79  - 034 12 58 85,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"120","BEJAIA,Bejaia (Centre ),Bejaia",36.754365,5.0499622,034 14 32 08  - 034 14 32 14  - 034 32 35 74  - 034 86 02 77  - 034 89 33 23  - 034 89 33 48  - 034 89 44 90,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"121","TICHY,Boulevard Principal de Tichy,Bejaia",36.6550461,5.1638936,"34815276",. IMPOTS Recette Contributions Divers,Bejaia,"6"
"122","AMIZOUR,Cite 154 Logts,Bejaia",36.643932,4.9036584,034 24 00 43  - 034 24 01 36  - 034 82 42 77,. IMPOTS Recette Contributions Divers,Bejaia,"6"
"123","BISKRA,Boulevard Hammouda Ahmed,Biskra",34.8562557,5.7307637,033 51 52 03  - 033 51 52 05  - 033 51 52 12  - 033 51 52 23  - 033 51 52 26  - 033 51 52 27  - 033 51 52 43  - 033 51 52 46  - 033 51 52 50  - 033 51 52 54  - 033 53 08 30  - 033 53 08 44  - 033 53 63 36  - 033 53 63 37  - 033 61 96 66,. DIRECTION DES IMPOTS,Biskra,"7"
"124","BISKRA,Biskra",34.8449437,5.7248567,"33530829",. DIRECTION DES IMPOTS,Biskra,"7"
"125","BISKRA,CENTRE VILLE,Biskra",34.8449437,5.7248567,033 53 08 02  - 033 53 08 35  - 033 53 08 47  - 033 53 08 50  - 033 53 40 17  - 033 53 53 53  - 033 53 66 10  - 033 61 96 65,. DIRECTION DES IMPOTS,Biskra,"7"
"126","BISKRA,Cité 252 Logts,Biskra",34.8449437,5.7248567,"33530838",. DIRECTION DES IMPOTS,Biskra,"7"
"127","BISKRA,Cité Bilal,Biskra",34.8455368,5.7481969,033 53 08 57  - 033 53 66 04,. DIRECTION DES IMPOTS,Biskra,"7"
"128","OULED DJELLAL,Rue Laarbi Ben M'hidi,Biskra",34.8541642,5.715833,"33663262",. DIRECTION DES IMPOTS,Biskra,"7"
"129","EL KANTARA,Hai 05 juillet,Biskra",35.2180269,5.7102465,033 63 20 63  - 033 63 21 44  - 033 63 21 46  - 033 69 66 17,. DIRECTION DES IMPOTS,Biskra,"7"
"130","OURLAL,OURLAL,Biskra",34.655656,5.5128952,"33570304",. DIRECTION DES IMPOTS,Biskra,"7"
"131","PTT,SIDI OKBA,Route Nationale N°83,Biskra",34.7505874,5.9084077,"33646279",. DIRECTION DES IMPOTS,Biskra,"7"
"132","IMPOT,SIDI OKBA,Route Nationale N°83,Biskra",34.825376,5.7722184,033 64 62 72  - 033 64 62 73  - 033 64 62 74  - 033 64 62 75  - 033 64 62 76  - 033 64 62 77  - 033 64 62 78,. DIRECTION DES IMPOTS,Biskra,"7"
"133","BISKRA,Rue De La Gare,Biskra",34.8449437,5.7248567,"33530836",. DIRECTION DES IMPOTS,Biskra,"7"
"134","2,BISKRA,Hai SAADA 2 R11,Biskra",34.8615042,5.7424888,033 65 52 47  - 033 65 52 48  - 033 65 52 55  - 033 65 52 56  - 033 65 52 66  - 033 65 52 67  - 033 65 52 72,. DIRECTION DES IMPOTS,Biskra,"7"
"135","42,ZERIBET EL OUED,Rue des fr}res BENNADJI,Biskra",34.6856169,6.4934143,"33641533",. DIRECTION DES IMPOTS,Biskra,"7"
"136","SIDI OKBA,Cité 80 Logts,Biskra",34.7505874,5.9084077,"33640049",. DIRECTION DES IMPOTS,Biskra,"7"
"137","SIDI OKBA,Cité 134 logts,Biskra",34.7505874,5.9084077,"33510453",. DIRECTION DES IMPOTS,Biskra,"7"
"138","SIDI KHALED,Sidi Khaled,Biskra",34.397074,4.9970929,033 67 98 03  - 033 67 98 04  - 033 67 98 23  - 033 67 98 26  - 033 67 98 30,. DIRECTION DES IMPOTS,Biskra,"7"
"139","ZERIBET EL OUED,Rue des fr}res BENNADJI,Biskra",34.6856169,6.4934143,"33641516",. DIRECTION DES IMPOTS,Biskra,"7"
"140","SIDI KHALED,Rue Hani Mohamed,Biskra",34.397074,4.9970929,"33679805",. DIRECTION DES IMPOTS,Biskra,"7"
"141","OULED DJELLAL,Ouled Djellal,Biskra",34.4294289,5.0681159,033 66 01 95  - 033 66 32 63  - 033 66 32 64  - 033 66 32 66  - 033 66 32 67  - 033 66 32 68  - 033 66 32 69  - 033 66 32 70,. DIRECTION DES IMPOTS,Biskra,"7"
"142","1,BISKRA,Hai SAADA 2 R11,Biskra",34.8615042,5.7424888,"33655245",. DIRECTION DES IMPOTS,Biskra,"7"
"143","BISKRA,BISKRA,Biskra",34.8449437,5.7248567,033 53 08 39  - 033 53 08 45  - 033 61 96 67  - 033 61 96 68,. DIRECTION DES IMPOTS,Biskra,"7"
"144","BECHAR,Place 1er Novembre 1954,Bechar",31.6238098,-2.2162443,049 22 06 64  - 049 22 07 93  - 049 22 12 60,. IMPOTS,Bechar,"8"
"146","BENI ABBES,Residence Daira,Bechar",30.3997632,-2.2846889,049 28 40 68  - 049 28 44 15,. IMPOTS,Bechar,"8"
"147","BENI ABBES,Boulevard 20 Aout,Bechar",30.1312217,-2.1662258,"49284290",. IMPOTS,Bechar,"8"
"148","BECHAR,Rue Taleb Abdellah,Bechar",31.6238098,-2.2162443,"49221193",. IMPOTS,Bechar,"8"
"149","BECHAR,Rue Gasmi Houcine,Bechar",31.6238098,-2.2162443,"49221194",. IMPOTS,Bechar,"8"
"150","BECHAR,Clos DRT 3eme Reg Militaire,Bechar",31.6238098,-2.2162443,"49221257",. IMPOTS,Bechar,"8"
"151","BECHAR,Boulevard Colonel Chabou,Bechar",31.645279,-2.278066,049 23 06 39  - 049 23 06 55  - 049 23 06 56  - 049 23 06 57  - 049 23 06 58  - 049 23 06 59  - 049 23 06 73,. IMPOTS,Bechar,"8"
"152","BENI ABBES,Residence Sureté Daira,Bechar",30.1312217,-2.1662258,"49284564",. IMPOTS,Bechar,"8"
"153","BENI OUNIF,Rue Rahmani Ahmed,Bechar",31.2829035,-0.6932948,"49252245",. IMPOTS,Bechar,"8"
"154","3,BECHAR,Rue Zaoui Dieb,Bechar",31.6238098,-2.2162443,"49221162",. IMPOTS,Bechar,"8"
"155","KERZAZ,Village Megsem,Bechar",29.4534018,-1.4178261,"49298860",. IMPOTS,Bechar,"8"
"156","KENADSA,Place 1er Mai,Bechar",31.6198309,-2.2157115,"49241617",. IMPOTS,Bechar,"8"
"157","BECHAR,Avenue 1er Novembre Ex Sahara,Bechar",31.6238098,-2.2162443,"49221256",. IMPOTS,Bechar,"8"
"158","ABADLA,Cité 461 Logements,Bechar",31.0023101,-2.7458681,049 25 70 39  - 049 25 70 40  - 049 25 79 07  - 049 25 79 57,. IMPOTS,Bechar,"8"
"159","CHEBLI,Centre Chebli,Blida",36.5184672,3.0492822,"25486952",Recette Chebli IMPOTS Direction de Blida,Blida,"9"
"160","8,OULED YAICH,Cité 1er Mai (1000 Logts),Blida",36.4948974,2.8456414,025 26 27 96  - 025 26 29 32  - 025 26 29 33  - 025 26 29 34,Sous Direction des Moyens Bureau des moyens et de l'informatique DIRECTION DES IMPOTS W.BLIDA,Blida,"9"
"161","42,BENI MERED,Rue 1er Novembre,Blida",36.5260576,2.8642185,"25276189",Sous Direction des Moyens Bureau des moyens et de l'informatique DIRECTION DES IMPOTS W.BLIDA,Blida,"9"
"162","39,BLIDA,Clos Alexandri,Blida",36.4735715,2.8323153,"25208523",Direction IMPOTS,Blida,"9"
"163","BLIDA,Clos Alexandri,Blida",36.4803618,2.8328413,025 20 81 05  - 025 20 81 12  - 025 20 81 16  - 025 20 81 21  - 025 20 81 26  - 025 20 81 71  - 025 20 81 72,Direction IMPOTS,Blida,"9"
"164","1,OULED YAICH,Cité 1er Mai (1000 Logts),Blida",36.4948974,2.8456414,025 26 29 28  - 025 26 29 30  - 025 26 29 31  - 025 26 29 35,Sous Direction des Moyens Bureau des moyens et de l'informatique DIRECTION DES IMPOTS W.BLIDA,Blida,"9"
"165","OULED YAICH,Cité 400 Logements,Blida",36.4905826,2.8539519,"25436025",. IMPOTS Direction,Blida,"9"
"166","BLIDA,Cite Bounaama Djillali,Blida",36.4837822,2.8159605,025 22 04 77  - 025 22 04 79  - 025 22 04 80  - 025 22 04 81  - 025 22 04 82  - 025 22 04 83  - 025 22 04 84  - 025 22 04 85,Direction IMPOTS,Blida,"9"
"167","23,BLIDA,Cite Bounaama Djillali,Blida",36.4828883,2.8166118,"25229792",Direction IMPOTS,Blida,"9"
"168","BLIDA,Boulevard Mahdjoub Boualem,Blida",36.4696895,2.8272756,025 21 32 43  - 025 21 32 46  - 025 21 38 08,Direction IMPOTS,Blida,"9"
"169","EL AFFROUN,Ave 1er Novembre,Blida",36.4701592,2.625741,"25268460",. DIRECTION DES IMPOTS W.BLIDA,Blida,"9"
"170","OUED EL ALLEUG,Place Du 20 Aout,Blida",36.5558964,2.7896308,"25261810",. IMPOTS Direction,Blida,"9"
