id,adresse,ville,tel,fax,email,long,lat,code,wilaya
760,Bloc administratif ex CNEP 3ème étage n°5 Zighoud Youcef,ZIGHOUD YOUCEF,031.91.70.97,031.91.70.97,sidali.makhloufi@ansej.dz,6.713146,36.535737,25,CONSTANTINE
761,01 Place Chadi Abdallah Constantine,CONSTANTINE,031.91.26.08,031.91.26.08,djad.benchikhlehocine@ansej.dz,6.6053642,36.3645066,25,CONSTANTINE
762,Avenue ALN Hamma Bouziane,HAMMA BOUZIANE,031.84.07.27,031.84.07.27,lilia.hamdane@ansej.dz,6.596859545,36.41466481,25,CONSTANTINE
770,La tour d’affaires 4ième étage Theniet El Hdjer Médea,MEDEA,025.73.22.60,025.73.22.59,fouad.ghaibouche@ansej.dz,2.7680247,36.2853847,26,MEDEA
772,Siège 100 locaux à côté de la protection civile Tablat,TABLAT,025.52.25.52,025.52.25.52,hamza.medjram@ansej.dz,3.318747,36.4121257,26,MEDEA
834,Ex Siège de la daïra de Ain Tadles,AIN TADLES,045.48.63.54,045.48.63.54,mohamed.ghezali@ansej.dz,0.295051,35.99537,27,MOSTAGANEM
835,Cité Colonel Lofti Rue Djelloul Mansour (ex Saint Charles) Mostaganem,MOSTAGANEM,045.33.36.69,045.33.36.69,zineelabidine.lamari@ansej.dz,0.081662536,35.92435348,27,MOSTAGANEM
856,Route  BBA  Commmune  Msila,MSILA,035.33.43.43,035.33.43.43,charaf.boutebaig@ansej.dz,4.5365653,35.7068936,28,MSILA
857,Cité administrative en face APC Bousaada 140/09,BOUSSAADA,035.43.41.74/07.70.79.01.15,035.43.41.74,hatem.khelifa@ansej.dz,4.178795,35.212574,28,MSILA
860,Annexe administrative de Magra Lotissement N°634 Route d’Elmaleh Magra,MAGRA,035.59.37.03/06.62.45.90.93,035.59.37.03,abdelhak.boutiara@ansej.dz,5.107808,35.61282,28,MSILA
903,Villa N°03 Cité 80 Villas Zhun 07 Mascara,MASCARA,045.75.68.10/12,045.75.68.11,ali.elkhamsa@ansej.dz,0.1446284,35.4052412,29,MASCARA
904,Cité 60 logements participatifs Bâtiment N°02 Rez-de-chaussée  Ghriss Mascara,GHRISS,045.81.89.26,045.81.89.26,belkacem.boukhari@ansej.dz,0.16200971,35.25299,29,MASCARA
905,Cité 42 logements participatifs Bâtiment N°04 Teghenif Mascara,TEGHENNIF,045.98.38.66,045.98.38.66,ahmed.hamek@ansej.dz,0.3343102,35.40778399,29,MASCARA
907,Rue Zirout Youcef Sig Mascara,SIG,045.62.07.58,045.62.07.58,,-0.1993712,35.53474,29,MASCARA
915,Cité 36 logements du Fonds National de Péréquation des Œuvres Sociales (FNPOS) El Mohamadia Mascara,MOHAMMADIA,045.89.87.49,045.89.87.49,mohammed.djillanikobibi@ansej.dz,0.0748102,35.594479,29,MASCARA
950,Avenue Eldjomhouria Souk El Hadjar Ouargla,OUARGLA,029.70.09.06,029.70.09.06,said.hadjadj@ansej.dz,5.332404,31.957251,30,OUARGLA
951,Rue Mohemmed Bekkar Berrekbia Cité El Amir Abdelkader Touggourt,TOUGGOURT,029.68.13.83,029.68.13.83,boubakeur.benretmia@ansej.dz,6.064122,33.105501,30,OUARGLA
971,APC Ahmed Zabana Arzew,ARZEW,05.53.66.79.45,,nabil.dahou@ansej.dz,-0.336006,35.848094,31,ORAN
972,01 place 1er novembre Ain El Turck Oran,AIN TURK,041.10.09.91,041.10.09.91,lahouari.mehalla@ansej.dz,-0.772598237,35.74535806,31,ORAN
977,Cité 287 Logements  BT C6 Hosn El Djiouar Usto Oran,BIR EL DJIR,041.70.63.00,041.70.63.00,samia.bensaleh@ansej.dz,-0.592525452,35.70228658,31,ORAN
978,02 Rue Agadir Bastille Oran,ORAN,041.85.32.85,041.85.33.28,habib.kerim@ansej.dz,-0.6244139,35.6913326,31,ORAN
997,Annexe Administrative de l’APC de Labiodh Sidi Cheikh,LABIODH SIDI CHEIKH,049.64.57.44,049.64.57.44,bahous.sadli@ansej.dz,0.5399631,32.9031575,32,EL BAYADH
999,Rue Boukhobza el Bey BP 66 Hamidi Boulanouar El Bayadh,EL BAYADH,049.61.19.83,049.61.19.82,,1.01306277,33.6811267,32,EL BAYADH
1000,Siège de la Daïra de Bougtoub,BOUGTOUB,049.62.33.03,049.62.33.03,salaheddine.malek@ansej.dz,0.0910316,34.0390465,32,EL BAYADH
1019,Route du marché Djanet,DJANET,029.48.51.86,029.48.51.86,zohra.mehdi@ansej.dz,9.4840272,24.5549992,33,ILLIZI
1020,Cité El-Wiam bâtiment BP 83 Illizi,ILLIZI,029.40.41.26,029.40.41.24,,8.4777834,26.5143145,33,ILLIZI
1025,Rue Hocine Guembour Cité des jardins Ras El Oued (ex inspection des impôts),RAS ELOUED,035.63.41.55,035.63.41.55,walid.abdelbaki@ansej.dz,5.034659,35.942032,34,BORDJ BOUARRERIDJ
1027,Faubourg des Martyrs Rue Cherifi Mohamed N°24 Ex Galerie BBA,BORDJ BOU ARRERIDJ,035.69.48.53,035.69.48.53,moudjib.bahlouli@ansej.dz,4.758457,36.068057,34,BORDJ BOUARRERIDJ
1028,Groupe administratif commune de Mansoura,MANSOURA,035.85.03.14,035.85.03.14,fateh.azib@ansej.dz,4.463098,36.078448,34,BORDJ BOUARRERIDJ
1033,Centre CNE de Djaafra,DJAAFRA,035.75.91.32,035.75.91.32,fethi.bounouiga@ansej.dz,4.663794,36.292377,34,BORDJ BOUARRERIDJ
1059,Cite El Medjni Dellys,DELLYS,024.98.71.56,024.98.71.56,merouane.lounis@ansej.dz,3.878035694,36.91811179,35,BOUMERDES
1060,Cité 350 logements ex CEM RAHIL RABAH BOUMERDES,BOUMERDES,024.91.43.13,024.91.43.13,mounir.bettam@ansej.dz,3.473047614,36.76614924,35,BOUMERDES
1064,Centre Culturel de  Bordj Menail,BORDJ MENAIL,024.98.30.82,024.98.30.82,mohamed.keddou@ansej.dz,3.713449985,36.74221999,35,BOUMERDES
1074,Rue Djenati Rabah N°17 Khemis El khechna,KHEMIS EL KHECHNA,024.97.06.31,024.97.06.31,yacine.amini@ansej.dz,3.332491815,36.64926035,35,BOUMERDES
1091,Cité 168 logements El Tarf,EL TARF,038.30.05.10,038.30.04.95,abdelghani.kerlil@ansej.dz,8.3546305,36.7623352,36,EL TARF
1093,Bloc  Administratif  Cité Houari Boumediene Ben M’idi,BEN M'HIDI,038.69.44.25,038.69.44.25,yassine.lacheb@ansej.dz,7.838967,36.705335,36,EL TARF
1100,,DRÉAN,038.38.89.93,038.38.89.93,yassine.nouri@ansej.dz,7.752155,36.684467,36,EL TARF
1115,Cité Oum El Essal Tindouf,OUM EL ASSEL,049.39.82.03,049.39.02.00,mostapha.benmoussa@ansej.dz,-5.394416,28.1925518,37,TINDOUF
1116,Cité Tindouf Lotfi Tindouf,TINDOUF,049.38.73.39,049.38.73.38,abderahmane.dida@ansej.dz,-8.135151,27.651269,37,TINDOUF
1117,Cité 24 Février Route de Hamadia  BP 111 Abedelhak Benhamouda Tissemsilt,TISSEMSILT,046.56.93.00,046.56.92.96,abdelkader.leroul@ansej.dz,1.811101,35.59788,38,TISSEMSILT
1121,Cité des 280 logements Theniet El Had,THENIET EL HAD,046.58.20.78,046.58.20.78,mohamed.aouar@ansej.dz,2.0268439,35.8700021,38,TISSEMSILT
1139,Cité 19 MARS El Oued,EL OUED,032.13.01.27,032.13.01.27,,6.856019,33.359876,39,EL OUED
1142,Cité Blida Djamaa El Oued,DJEMAA,032.15.66.64/07.79.33.71.36,032.15.66.64,ahmed.cheradid@ansej.dz,5.990451,33.532076,39,EL OUED
1144,Citè El Kadim El Meghaier El Oued,EL MEGHAIER,032.19.50.05/07.70.16.28.79,032.19.50.05,lakhdar.kidous@ansej.dz,5.933443,33.955339,39,EL OUED
1169,Cité des 155 logements Commune Ouled Rechache,OULED RECHACHE,032.33.94.87,032.33.94.87,abdelkader.bourabha@ansej.dz,7.345188,35.29868,40,KHENCHLA
1170,ex Siège de l'APC TABERGHDA Commune Chechar,CHECHAR,032.35.51.08,032.35.51.08,farid.belgroune@ansej.dz,7.018040121,35.02343566,40,KHENCHLA
1171,Cité 98 Logements Essaada  Khenchela,KHENCHELA,032.72.29.87,032.72.29.95,,7.139782,35.428498,40,KHENCHLA
1172,Cité Abbes Laghrour ex Siège CASEMA FLN-Commune de Kais Khenchela,KAIS,032.77.05.64,032.77.05.64,samir.djebbar@ansej.dz,6.928882152,35.49158577,40,KHENCHLA
1190,Cité 20 Août 1956,SEDRATA,037.87.67.90,037.87.67.90,,7.531801164,36.1256545,41,SOUK AHRAS
1191,Rue Bouthlidja El Abbed En face de l'hôtel de la wilaya Souk Ahras,SOUK AHRAS,037.72.06.44,037.72.06.14,,7.957687676,36.28225341,41,SOUK AHRAS
1193,Taoura Centre,TAOURA,037.78.48.79,037.78.48.79,samia.khelaifia@ansej.dz,8.042239,36.164891,41,SOUK AHRAS
1216,Complexe administratif 45 bureaux Cité  Boutout Mila,MILA,031.47.55.12,031.57.55.77,noureddine.abid@ansej.dz,6.2655259,36.4543583,43,MILA
1217,Avenue 1er Novembre Ferdjioua,FERDJIOUA,031.49.54.00,031.49.54.00,abdelouahab.arfi@ansej.dz,5.9429659,36.4089487,43,MILA
1218,Rue Benyahya Zoubir (la tour) Chelghoum Laid,CHELGHOUM LAID,031.41.63.68,031.41.63.68,fares.boussouf@ansej.dz,6.1657,36.1599155,43,MILA
1226,Complexe Administratif Cité de la Mosquée  TELAGHMA,TELAGHEMA,031.42.25.59,031.42.25.59,khaled.saada@ansej.dz,6.3545001,36.1174889,43,MILA
1248,Cité 98 logements LSP Khemis Miliana Ain Defla,KHEMIS MILIANA,027.56.76.91,027.56.76.91,youssouf.kerrouche@ansej.dz,2.204711437,36.26262155,44,AIN DEFLA
1249,Nouvelle cité administrative Ain Defla,AIN DEFLA,027.50.42.47,027.50.45.47,abdelhadi.benabdelmalek@ansej.dz,1.967110634,36.25971915,44,AIN DEFLA
1284,Nouvelle cité administrative. En face du siège de la wilaya. BP 160 Naâma,NAAMA,049.59.02.67,049.59.01.97,salima.harkati@ansej.dz,-0.308977,33.267333,45,NAAMA
1285,Rue Colonel Lotfi. En face l’APC de  Ain Sefra,AIN SEFRA,049.56.13.61,049.56.13.61,seddik.didouh@ansej.dz,-0.579687,32.752377,45,NAAMA
1296,Cité Administrative  Bâtiment A Bloc 2 Ain Temouchent,AIN TEMOUCHENT,043.79.18.98,043.79.39.77,kheireddine.boukhalfa@ansej.dz,-1.14253478,35.30578449,46,AIN TEMOUCHENT
1297,Rue Charef Afghoul Mostafa Hammam Bouhadjar,HAMMAM BOUHDJAR,043.73.92.33,,,-0.968937063,35.37601999,46,AIN TEMOUCHENT
1319,Rue Maamar Rouani BP 452 RP Ghardaia,GHARDAIA,029.23.34.17,029.23.34.17,fatima.benatallah@ansej.dz,3.680031,32.480091,47,GHARDAIA
1323,Centre ville de Menia Ghardaia,EL MENIA,029.21.14.00,029.21.14.00,ouarda.affari@ansej.dz,2.881985,30.583805,47,GHARDAIA
1325,Centre d'échange rural Guerrara,GUERARA,029.26.12.24,029.26.12.24,khaled.zaghoudi@ansej.dz,4.489216,32.788968,47,GHARDAIA
1326,12 Rue el Amir Abdelkader Metlili,METLILI,029.29.24.02,029.29.24.02,larbi.benseddik@ansej.dz,3.632016,32.268537,47,GHARDAIA
1332,Cité 36 logements Yellel (Siege Annexe APC),YELLEL,046.81.18.18,046.81.18.18,toufik.benotsmane@ansej.dz,0.3608265,35.7210267,48,RELIZANE
1333,Cité Drider Mohamed Ammi Moussa,AMMI MOUSSA,046.84.13.55,046.84.13.55,mohammed.ouazir@ansej.dz,0.109332144,37.85012315,48,RELIZANE
1336,Cité DIAR El Ward bloc G Relizane,RELIZANE,046.76.03.38,046.76.03.38,bouzid.belhadj@ansej.dz,0.5532498,35.7422498,48,RELIZANE
1340,Rue Slimani Abed Oued R'hiou,OUED R'HIOU,046.78.62.90,046.78.62.90,mohammed.ammari@ansej.dz,0.917575657,35.95977573,48,RELIZANE
