id,nom,email,adresse,wilaya,code_wilay,tel,fax,long,lat
"20",589 - Agence AOKAS,agaokas589@bna.dz,Bd Mohemmadi Slimane BP 75 Aokas - W. Béjaïa,Bejaia,"6",(034) 84 74 36 - (043) 84 74 45 - (043) 84 74 35,(034) 84 74 39 - (043) 84 74 45 - (043) 84 74 35,5.245244899999999,36.637634599999998
"21",386 - Agence BISKRA,agbiskra386@bna.dz,06 - Rue Mohamed Abbas - 07000 Biskra,Biskra,"7",(033) 52 03 91 - (033) 52 09 48,,5.724856700000000,34.844943700000002
"22",387 - Agence BISKRA,agbiskra387@bna.dz,Cité des 1000 logements BT 09 & 10 n°1 Biskra - 07000,Biskra,"7",(033) 54 10 38 - (033) 54 15 91,(033) 54 10 37 / 38,5.724856700000000,34.844943700000002
"23",709 - Agence TOLGA,agtolga709@bna.dz,03 Rue Makhloufi Saad ? Rissota Est TOLGA - 07300,Biskra,"7",(033) 57 88 38/ 36,(033) 57 88 36,5.387345835384370,34.727704337377965
"24",410 - Agence BENI OUNIF,agbeniounif410@bna.dz,Avenue Colonel Lotfi - 08100 Béni - Ounif,Bechar,"8",(049) 25 22 04,(049) 25 22 05,-0.693294800000000,31.282903500000000
"25",412 - AP BECHAR,apbechar412@bna.dz,Avenue Colonel Lotfi - 08000 Béchar,Bechar,"8",(049) 22 08 56 - (049) 22 07 53 -,(049) 22 07 43 - 22 07 52,-2.214039800000000,31.619031199999998
"26",414 - Agence DEBDABA,agdebdaba414@bna.dz,Bd Emir Abdelkader - Debdaba - 08000 Béchar,Bechar,"8",(049) 22 77 37 - (049) 22 77 41,(049) 22 70 52,-2.206117900000000,31.627634199999999
"27",415 - Agence BECHAR,agbechar415@bna.dz,28 Avenue Colonel Lotfi - 08000 Béchar,Bechar,"8",(049) 22 12 38 - (049) 22 12 37 -,(049) 22 12 41,-2.214039800000000,31.619031199999998
"28",430 - AP BOUFARIK,apboufarik430@bna.dz,13 - Avenue Souidani Boudjemaa Boufarik - W. Blida,Blida,"9",(025) 48 19 88 - (025) 48 19 90 - (025) 48 15 69,(025) 48 19 88 - (025) 48 25 63,2.912125600000000,36.583241299999997
"29",431 - Agence Blida,agblida431@bna.dz,Bd des Martyrs - Blida,Blida,"9",(025) 21 01 65 - (025) 21 01 67 - (025) 21 00 20,(025) 21 01 68,2.829847500000000,36.471196100000000
"30",437 - Agence EL AFFROUN,agelaffroun437@bna.dz,Rue Mebarek Chérif - 09200 El Affroun,Blida,"9",(025) 38 79 83 - (025) 38 79 71 - (025) 38 69 53,(025) 38 76 01 - 38 69 25,2.625741000000000,36.470159199999998
"31",442 - AP BLIDA,aplida442@bna.dz,Bd Takarli Abderrezak - 09000 Blida,Blida,"9",(025) 21 54 01/ 03 - (025) 21 54 80 - (025) 21 53 98 - (025) 21 54 09 - (025) 21 54 05,(025) 21 54 04,2.832345800000000,36.471651100000003
"32",445 - Agence LES BANANIERS,aglesbananiers445@bna.dz,Cité des 680 Logts ?Les Bananiers? 09000 Blida,Blida,"9",(025) 23 59 18,(025) 23 59 20,2.810977900000000,36.485250100000002
"33",460 - Agence BOUIRA,agbouira460@bna.dz,Rue Guettaf Seddik 10000 Bouira,Bouira,"10",(026) 73 92 62/ 68/ 60/ 67,(026) 73 92 68/ 60/ 67,3.900619399999999,36.369184599999997
"34",576 - Agence LAKHDARIA,aglakhdaria576@bna.dz,Cité 210 logements - Lakhdaria - W.Bouira,Bouira,"10",(026) 70 35 10 - (026) 70 35 11,(026) 70 35 11,3.596021300000000,36.566064900000001
"35",473 - Agence TAMANRASSET,agtamanrasset473@bna.dz,Centre Commercial - 11000 Tamanrasset,Tamanrasset,"11",(029) 31 15 70/ 74/ 69,(029) 31 15 74,5.522427299999999,22.784175399999999
"36",483 - Agence TEBESSA,agtebessa483@bna.dz,02 Avenue de la Victoire - 12000 Tébessa,Tébessa,"12",(037) 58 28 17/ 33 (037) 58 31 65,(037) 58 28 33,8.117295800000001,35.401079699999997
"37",484 - Agence OUENZA,agouenza484@bna.dz,Place du 1er Novembre 1954 - 12350 Ouenza,Tébessa,"12",(037) 46 90 15 - (037) 67 82 12,(037) 46 90 15 - (037) 67 80 28,8.132528299999999,35.951834699999999
"38",486 - Agence BIR EL ATER,agbirelater486@bna.dz,Cité Administrative - 12200 Bir El Ater,Tébessa,"12",(037) 44 68 43 - (037) 44 61 06 - (037) 44 98 00,(037) 44 68 43,8.057752599999999,34.749839000000001
"39",491 - AP TEBESSA,aptebessa491@bna.dz,Bd Mahmoud Chérif - BP 255 - 12000 Tébessa,Tébessa,"12",(037) 58 12 85 - (037) 58 11 12 - (037) 58 31 16,(037) 58 12 85 - (037) 58 11 15,8.117295800000001,35.401079699999997
"40",512 - AP TLEMCEN,aptlemcen512@bna.dz,30 - Place Khemisti - 13000 Tlemcen,Tlemcen,"13",(040) 90 71 38 - (043) 26 40 84 / 26 13 27,(043) 26 50 24 - (043) 26 66 47,-1.316681500000000,34.882886399999997
"41",514 - Agence MAGHNIA,agmaghnia514@bna.dz,Bd du 1er novembre Maghnia 13001 W. Tlemcen,Tlemcen,"13",(043) 39 77 91 - (043) 39 77 92 - (043) 39 77 94 / 93,(043) 39 77 97 - (043) 39 77 95,-1.729353600000000,34.848659699999999
"42",526 - AP ABOU TACHFINE,apaboutachfine526@bna.dz,Zone Semi Industrielle Abou Tachfine 13000 Tlemcen,Tlemcen,"13",(043) 38 97 09/ 98 (043) 38 94 97,(043) 38 97 09 - (043) 38 98 17,-1.324523500000000,34.907646000000000
"43",527 - AP TLEMCEN,aptlemcen527@bna.dz,29 Place Khemisti -13000 Tlemcen,Tlemcen,"13",(043) 27 50 95 - (043) 27 58 76 - (043) 27 48 06 - (043) 27 51 03 - (043) 27 51 03,(043) 27 50 95 - (043) 26 33 15,-1.729384800000000,34.849614899999999
"44",528 - Agence SEBDOU,agsebdou528@bna.dz,Centre Commercial - 13006 Sebdou - W. Tlemcen,Tlemcen,"13",(043) 54 43 80/ 77,(043) 54 43 80/ 77,-1.332967600000000,34.637664800000003
"45",529 - Agence NEDROMA,agnedroma529@bna.dz,Rue des 5 Martyrs Nedroma - 13004 Nedroma - W.Tlemcen,Tlemcen,"13",(043) 45 61 77 - (043) 45 69 25,(043) 45 69 69 - (043) 45 69 25,-1.766693600000000,35.029291800000003
"46",533 - Agence KIFANE,agkifane533@bna.dz,Bd Ain Sebaa Kifane - 13000 Tlemcen,Tlemcen,"13",(043) 56 41 09/ 58,(043) 56 41 09 - (043) 56 41 11,-1.316681500000000,34.882886399999997
"47",532 - Agence GHAZAOUAT,agghazaouet532@bna.dz,Porte de Nedroma -13002 Ghazaouat,Tlemcen,"13",(043) 47 20 25 - (043) 47 20 24,(043) 47 20 22 - (043) 47 20 24,-1.862697600000000,35.101231800000001
"48",530 - Agence REMCHI,agremchi530@bna.dz,05 Rue Si Merbah. Remchi 13005 W- Tlemcen,Tlemcen,"13",(043) 43 77 12/14/26,(043) 43 77 12/14,-1.426380000000000,35.064069000000003
"49",531 - Agence HENNAYA,aghennaya531@bna.dz,07 - Rue de la Liberté - 13009 Hennaya,Tlemcen,"13",(043) 44 45 85/ 87/ 89/ 90,(043) 44 45 87,-1.372365200000000,34.952309600000000
"50",540 - AP TIARET,aptiaret540@bna.dz,Rue de la victoire N°17 ?Wilaya de Tiaret,Tiaret,"14",(046) 20 54 85/ 71 - (046) 20 53 06,(046) 20 54 86,1.315822100000000,35.373839300000000
"51",545 - Agence TIARET,agtiaret545@bna.dz,Cité EPLF ex : Volani - 14000 Tiaret,Tiaret,"14",(046) 24 30 58 / 65 - 24 30 61 - (046) 24 30 60,(046) 24 30 59,1.336077200000000,35.351616399999997
"52",548 - Agence SNVI TIARET,agsnvitiaret548@bna.dz,Complexe de Carrosserie - Ain Bouchekif -14110 Tiaret,Tiaret,"14",(046) 24 94 09 /10/ 11/ 12,(046) 24 94 09/ 12,1.513718700000000,35.351434800000000
"53",462 - Agence AZAZGA,agazazga462@bna.dz,Bd Commandant Ahmed Zaidat 15001 Azazga - W. Tizi Ouzou,Tizi Ouzou,"15",(026) 34 43 53,(026) 34 45 68 - (026) 14 18 19,4.373534900000000,36.745697600000000
"54",577 - Agence BOGHNI,agboghni577@bna.dz,03 - Rue des Frères Mammeri - 15003 Boghni - W.Tizi Ouzou,Tizi Ouzou,"15",(026) 23 17 18/ 19/ 20,(026) 23 17 18/ 19/ 20,3.961113600000000,36.532930299999997
"55",578 - Agence Larbâa NathIrathen,aglarbaanathirathen578@bna.dz,Avenue Abane Ramdane - 15006 W.Tizi Ouzou,Tizi Ouzou,"15",(026) 49 28 17/ 18/ 19,(026) 49 28 17,4.052624700000000,36.711435100000003
"56",581 - AP TIZI OUZOU,aptiziouzou581@bna.dz,Avenue Abane Ramdane - 15000 W.Tizi Ouzou,Tizi Ouzou,"15",(026) 12 88 40 - 12 88 14 - (026) 12 46 11 - 12 88 67,(026) 12 62 12,4.052624700000000,36.711435100000003
"57",582 - Agence LES OUADHIAS,aglesouadhias582@bna.dz,Cité des 104 Logts - Bt A n°1 - 15016 Les Ouadhias - W.Tizi Ouzou,Tizi Ouzou,"15",(026) 32 44 52 - (026) 32 31 75 - (026) 32 39 97 - (026) 32 40 40,(026) 32 40 40 - (026) 32 39 97,4.088293300000000,36.555999700000001
"58",583 - AP TIZI OUZOU,aptiziouzou583@bna.dz,Carrefour du 20 Avril - Immeuble KESSI - Nouvelle Ville - 15007 Tizi Ouzou,Tizi Ouzou,"15",(026) 18 20 01/ 02 - (026) 18 25 11 - (026) 18 22 79,(026) 18 25 11 - (026) 18 22 79,4.047830600000000,36.698543500000000
"59",584 - Agence DRAA BEN KHEDDA,agdraabenkhedda584@bna.dz,24 Rue KASRI Ahmed Draa Ben Khedda,Tizi Ouzou,"15",(026) 27 29 71/ 79 - (026) 27 16 00,(026) 27 29 71 - (026) 27 16 00,3.965427000000000,36.734156300000002
"61",612 - Agence DAR EL BEIDA,agdarelbeida612@bna.dz,22 Rue Mouloud Feraoun - 16100 Dar El Beïda,Alger,"16",(021) 75 52 65 - (021) 75 53 94,(021) 75 52 65 - (021) 75 53 94 - (021) 75 54 03,3.208553600000000,36.715620899999998
"62",613 - Agence Aéroport HB,agaéroport613@bna.dz,Aéroport Houari Boumediène - Air Algérie Bloc E - 16100 Dar El Beïda,Alger,"16",(021) 50 96 60,(021) 50 96 60 - (021) 50 93 23,3.206867200000000,36.697921800000003
"63",616 - AP EL HARRACH,apelharrach616@bna.dz,Ave. des Frères Djeli (Hai Naîli) BP 28 El Harrache,Alger,"16",(021) 52 61 02/ 01/ 03 - (021) 82 30 60,(021) 52 70 34,3.137662500000000,36.720966900000001
"64",619 - Agence EL HARRACH,agelharrach619@bna.dz,14 Rue du 5 Juillet - El Harrach ? Alger,Alger,"16",(021) 83 35 13/ 14 -,(021) 83 25 92,3.182556900000000,36.746624099999998
"65",624 - Agence PINS MARITIMES,agpinsmaritimes624@bna.dz,Palais des Expositions - 16200 Pins Maritimes,Alger,"16",(021) 21 90 03 - (021) 21 06 81,(021) 21 90 03 - (021) 21 06 81,3.154879443234161,36.731843395517068
"66",625 - Agence KOUBA,agkouba625@bna.dz,Cité 216 Logements - Garidi 1 - Kouba - Alger,Alger,"16",(023) 78 22 29/ 30/ 31/ 33 - (023) 78 22 27,(023) 78 22 32,3.063810500000000,36.728659399999998
"67",633 - AP BIRKHADEM,apbirkhadem633@bna.dz,Rue Hassen-Ben Naamane - les Vergers - W Alger,Alger,"16",(021) 44 75 05,(021) 44 75 05,3.058004043223336,36.727901953699750
"68",634 - AP OUED SMAR,apouedsmar634@bna.dz,12 Route de Meftah ? Zl - 16030 Oued Smar,Alger,"16",(021) 51 50 33 - (021) 51 51 43- (021) 51 51 04 - (021) 51 45 32/ 33-(021) 51 51 50,(021) 51 50 33,3.165055800000000,36.707127700000001
"69",636 - Agence BARAKI,agbaraki636@bna.dz,Rue Mohamed BENLARBI - BARAKI - Alger,Alger,"16",(023) 91 48 90/ 87 - (023) 91 48 79/ 76,,3.096328200000000,36.667510600000000
"70",637- Agence GUE DE CONSTANTINE,agguedeconstantine637@bna.dz,Site SONELGAZ - «700 Bureaux» - Côté B - RN n°38 - Gué de Constantine - Alger,Alger,"16",(021) 83 59 86/ 88 - (021) 83 61 60 - (021) 83 60 04,(021) 83 61 60 -,3.079791800000000,36.690019399999997
"71",647 - AP EL HAMIZ,apelhamiz647@bna.dz,Route Nouvelle n° 5 EI Hamiz - 35300 Rouïba,Alger,"16",(021) 85 42 86 - (021) 85 42 90,(021) 85 42 86 - (021) 85 42 90,3.277987900000000,36.735892799999988
"72",648 - Agence MOHAMMADIA,agmohammadia648@bna.dz,Sur Site Algérie Telecom Cinq maisons - El Mohammadia - Alger,Alger,"16",(021) 76 18 89/ 90,(021) 76 18 89/ 90,3.154751000000000,36.724806999999998
"73",428 - Agence ZERALDA,agzeralda428@bna.dz,Centre des Affaires Zeralda - W. Alger,Alger,"16",(021) 32 72 18,(021) 32 72 18,2.844990300000000,36.710001499999997
"74",436 - Agence BABA HACENE,agbabahacene436@bna.dz,Complexe BNA - 14 Rue Kaci Mohamed - Baba Hacène - Alger,Alger,"16",(023) 35 38 12 - (023) 35 37 46,(023) 35 36 77,2.970715500000000,36.699088099999997
"75",440 - Agence STAOUELI,agstaoueli440@bna.dz,Rue Mellal Mohamed - 42000 Staoueli. W. ALGER,Alger,"16",(021) 39 35 32/ 28/ 29/ 31/ 30,(021) 39 35 32,2.886822000000000,36.753512700000002
"76",630 - Agence AIN BENIAN,againbenian630@bna.dz,88 - Rue Colonel Si M?hamed - Ain Benian,Alger,"16",(023) 10 39 51/ 52 - (023) 10 48 30,(023) 10 39 51/ 52,2.916097000000000,36.803438800000002
"77",632 - AP ROUIBA I,,87 - Cite cadat rouiba - Alger,Alger,"16",(021) 81 72 29/ 67/ 82 - (021) 81 42 01/ 69/ 70 - (021) 85 16 38,(021) 81 52 78 - (021) 81 72 82 -,3.275338200000000,36.739059099999999
"78",641 - AP ROUIBA II,aprouibaii641@bna.dz,Rue Hassiba Ben Bouali Rouiba - Alger,Alger,"16",(023) 85 52 41/ 81 (021) 81 10 93? (023) 85 54 19 - (023) 85 53 55,(023) 85 54 08 - (023) 85 53 77,3.280196500000000,36.737540299999999
"79",644 - Agence REGHAIA ?1?,agreghaiai644@bna.dz,04 - Rue Med BOUZIDI - Réghaia - Alger,Alger,"16",(021) 84 71 52/ 56,(021) 84 71 54,3.342550000000000,36.738664300000003
"80",646 - Agence AIN,againtaya646@bna.dz,Place Mohamed Khemisti - Ain Taya - Alger,Alger,"16",(023) 87 56 61/ 66/ 65,(023) 87 56 62,3.282491700000000,36.736254899999999
"81",649 - Agence EL HAMIZ,agelhamiz649@bna.dz,Hai Feriri - Groupe N°9 - El Hamiz Dar El Beida,Alger,"16",(023) 86 73 81/ 60/ 78/ 76,,3.230711300000000,36.730179999999997
"82",650 - Agence REGHAIA ?II?,agreghaiaii650@bna.dz,Cité DNC - Bat n°20 A - Réghaïa - Alger,Alger,"16",(023) 84 55 61/ 60/ 63,,3.342511600000000,36.749882200000002
"83",651 - Agence BORDJ EL BAHRI,agbordjelbahri651@bna.dz,Lotissement terrain familial nord R.N N° 24 N°31 BORDJ EL BAHRI ALGER,Alger,"16",(023) 87 22 89/ 72/ 58/ 69/ 49,,3.237683300000000,36.787360800000002
"84",599 - AP CHE GUEVARA,apguevara599@bna.dz,08 Bd Emesto Che Guevara - 16000 Alger,Alger,"16",(021) 43 93 03 - (021) 43 94 03 - (021) 43 92 89 - (021) 43 95 80 - (021) 43 95 75 - (021) 43 94 91 - (021) 43 96 84 - (021) 43 97 02 - (021) 43 96 71 - (021) 43 99 88,(021) 43 96 71,3.062492200000000,36.783005299999999
"85",602 - AP TELEMLY,aptelemly602@bna.dz,Agence sur Site Sonelgaz - 02 Bd Krim Belkacem -Telemly - Alger,Alger,"16",(021) 72 37 88/ 89 - (021) 72 37 86 - (021) 72 37 90,(021) 72 37 87,3.053063600000000,36.774131699999998
"86",605 - AP LIBERTE,apliberté605@bna.dz,08 Rue de la Liberté - 16000 Alger,Alger,"16",(021) 73 22 41 - (021) 73 71 72 - (021) 73 58 53,(021) 73 83 68-,3.059840700000000,36.778426899999999
"87",608 - Agence BOLOGHINE,agbologhine608@bna.dz,Avenue Aek ZIAR ? Bologhine - 16000 Alger,Alger,"16",(021) 95 19 97 - (021) 95 11 99 - (021) 95 10 40 - (021) 95 02 80 - (021) 95 02 66,(021) 95 02 80,3.036236300000000,36.802193600000003
"88",620 - AP ZIROUT YOUCEF,apziroutyoucef620@bna.dz,12 Bd Zirout Youcef 16000 Alger,Alger,"16",(023) 50 23 80/ 83/ 75 - (023) 50 23 78,(023) 50 23 78 - (023) 50 23 80,3.060948900000000,36.773702399999998
"89",627 - AP BOUZAREAH,apbouzareah627@bna.dz,Avenue Ali REMLI (Air de France) Bouzaréah - Alger,Alger,"16",(023) 27 02 32/ 33/ 35 - (023) 27 02 40 - (023) 27 02 36,(023) 27 02 36 - (023) 27 02 32,3.010843400000000,36.780799500000001
"90",628 - Agence PORT-SAID,agportsaid628@bna.dz,03 Rue des Frères Oukid - Port Said - 16000 Alger,Alger,"16",(021) 43 91 36/ 67 - (021) 43 91 35 - (021) 43 93 98,(021) 43 91 35 - (021) 43 91 66,3.061463386399270,36.781350552811517
"91",629 - Agence BAB EL OUED,agbabeloued629@bna.dz,11 Ave Colonel Lotfi - B.E.0 - 16009 Alger,Alger,"16",(021) 97 70 59/58 - (021) 96 17 25,(021) 97 70 59,3.056567900000000,36.791201699999988
"92",601 - AP Didouche Mourad,apdidouchemourad601@bna.dz,45 - 47 - Rue Didouche Mourad - 16000 Alger,Alger,"16",(021) 73 52 12/ 021 71 19 59/ 021 74 53 80 - (021) 74 23 46/ 021 74 78 80/ 021 73 46 25 - (021) 74 24 97 - (021) 74 78 81 - (021) 71 84 66 - (021) 73 34 37 - (021) 73 34 40,,3.052991900000000,36.766792199999998
"93",603 - Agence Hydra,aghydra603@bna.dz,Résidence Chaabani - Hydra,Alger,"16",(021) 34 11 28/ 29/ 30 - (021) 48 49 81 - (021) 48 49 79 - (021) 48 49 96,(021) 48 49 81 - (021) 48 49 96,3.030027400000000,36.755310100000003
"94",607 - Agence HAMANI « B »,agb607@bna.dz,50 Boulevard Ahmed Ghermoul - Sidi M?hamed - Alger,Alger,"16",(021) 66 63 57 - (021) 65 22 72/ 021 66 63 64,(021) 66 63 57,3.050856500000000,36.759044299999999
"95",609 - Agence «D»,agd609@bna.dz,119 - Rue Didouche Mourad - 160006 Alger,Alger,"16",(021) 61 63 74 - (021) 61 17 11 - (021) 61 50 95 - (021) 61 17 03,(021) 61 63 74 - (021) 61 50 95 - (021) 61 17 03,3.046734000000000,36.763309499999998
"96",610 - AP Les Halles,apleshalles610@bna.dz,122 - Rue Hassiba Beb Bouai - 16000 Alger,Alger,"16",(023) 49 70 22 - (023) 49 70 28,,3.065443900000000,36.755837799999988
"97",611 - AP Hussein Dey,aphusseindey611@bna.dz,8 - Rue Amar Mekkid Hussein Dey - 16040 Alger,Alger,"16",(023) 77 26 40 - (023) 77 61 39 - (023) 77 19 46,(023) 77 61 39,3.098719700000000,36.741544500000003
"98",614 - Agence « N »,agelmouradia614@bna.dz,22 - Av Souidani Boudjemaa - 16035 El Mouradia - Alger,Alger,"16",(021) 60 23 50/ 51 - (021) 48 08 38 - (021) 60 23 61,(021) 60 23 50 - (021) 60 23 61,3.047305700000000,36.755314200000001
"99",615 - Agence BELAHDJEL,agbelahdjel615@bna.dz,24 - Rue Hocine Belahdjet - 16000 Alger,Alger,"16",( 021) 61 65 88 - (021) 64 92 60,( 021) 61 65 88 - (021) 64 92 60,3.045353100000000,36.764272699999999
"100",617 - Agence RIADH EL FETH,agriadhelfeth617@bna.dz,Centre commercial Riadh El Feth BP 104 - 16075 El Madania - Alger,Alger,"16",(021) 67 11 76 - (021) 67 10 24 - (021) 67 12 14 - (021) 67 26 90,(021) 67 12 14 - (021) 67 10 24,3.070134700000000,36.742907899999999
"101",621- AP EL BIAR,apelbiar621@bna.dz,16 Av Messaoud Taleb et fils ex Carnot El Biar - Alger,Alger,"16",(021) 92 82 23/ 021 92 21 17 - (021) 92 70 12 - (021) 92 47 69 - (021) 92 70 10 - (021) 92 70 09,(021) 92 70 12 - (021) 92 47 69 - (021) 92 70 10 - (021) 92 70 09,3.026672900000000,36.770499500000000
"102",622 - Agence El Quods,agelquods622@bna.dz,Centre des affaires El Quods Niveau M2 Aile Sud - Cheraga,Alger,"16",(021) 34 11 28/ 29/ 30/ 35,(021) 34 11 35 - (021) 34 11 36,2.960113200000000,36.770683099999999
"103",623 - AP Ben M?hidi,apbenmhid623@bna.dz,64 - Rue Larbi Ben Mhidi - 16000 Alger,Alger,"16",(021) 71 50 98 - (021) 73 79 69 - (021) 73 15 23 - (021) 73 79 70,(021) 73 15 19,3.058884800000000,36.774406599999999
"104",626 - AP AGHA,a.agha626@bna.dz,Gare SNTF Agha - 16000 Alger,Alger,"16",(021) 71 99 94 - (021) 71 39 16,(021) 71 99 94 - (021) 71 39 16,3.057189500000000,36.768604799999999
"105",640 - AP BORDJ EL KIFFAN,apbordjelkiffan640@bna.dz,Hôtel des Finances ? Ave du 1er Novembre - BP 175/ 16120 Bordj El Kiffan,Alger,"16",(023) 80 12 67 /68 /70 /72 /82,(023) 80 12 71,3.232259300000000,36.761160699999998
"106",635 - Agence Hussein Dey,aphusseindey635@bna.dz,8 - Rue Amar Mekkid Hussein Dey ? 16040 Alger,Alger,"16",(023) 77 19 44/ 45/ 61/ 65,(023) 77 19 44/ 61,3.098719700000000,36.741544500000003
"107",638 - Agence BIRKHADEM,,30 - Rue des frères Djillali Birkhadem - W. ALGER -,Alger,"16",023.45.24.61 - 023.45.23.32 - 023.45.23.26 - 023.45.23.59,023.45.24.70 - 023.45.23.23,3.049828600000000,36.716636999999999
"108",653 - Agence AIN OUSSERA,againoussera653@bna.dz,Lot Ali Amar - Rue Principale - 17200 Ain Oussera - W.Djelfa,Djelfa,"17",(027) 80 15 29 - (027) 80 15 17 - (027) 82 71 26 - (027) 80 15 36,(027) 80 15 37/ 35,2.907355200000000,35.448715499999999
"109",654 - AP DJELFA,apdjelfa654@bna.dz,Bd Emir AbdelKader - 17000 Djelfa,Djelfa,"17",(027) 92 37 86 - (027) 92 38 11,(027) 92 39 52,3.250376100000000,34.670395599999999
"110",841 - Agence EL MILIA,agelmilia841@bna.dz,55 Ave Zirout Youcef - 18100 El Milia ? Jijel,Jijel,"18",(034) 52 82 92/ 94/ 96,(034) 52 82 92/ 94/ 964,6.267672600000000,36.753120500000001
"111",671 - Agence JIJEL,agjijel671@bna.dz,01 Ave Emir Abdelkader - BP 92 18000 Jijel,Jijel,"18",(034) 47 20 11 - (034) 47 65 78 - (034) 47 20 17,(034) 47 44 20 - (034) 47 20 17,5.765408600000000,36.822776900000001
