code,nom,type,adresses,e-mail,fax,tel,wilayas de rattachement,lat,lon
3,LAGHOUAT,Agence,AVENUE 05 JUILLET MAAMOURAH-LAGHOUAT,laghouat@angem.dz,029 13 25 37,029 13 25 38,LAGHOUAT,33.8078341,2.8628294
4,OEB,Agence,ANCIENNNE CITE ADMINISTRATIVE BP 2002 Oum El Bouaghi,oumelbouaghi@angem.dz,032 56 51 67,032 56 52 43,OEB,35.8688789,7.1108266
5,BATNA,Agence,CITE NACER CITE ADMINISTRATIVE BLOC 02 BATNA,batna@angem.dz,033 25 39 79,033 25 39 78,BATNA,,
6,BEJAIA,Agence,"RUE DE LA LIBERTE ,BLOC ADMINISTRATIF EX SIEGE DES AFFAIRES RELIGIEUSES BEJAIA",bejaia@angem.dz,034 22 94 80,034 22 94 84,BEJAIA,36.7515258,5.0556837
7,BISKRA,Agence,BLOC N° 06 CITE 200/500 (PRES DE LA MOSQUEE EL FATEH)EL ALLIA-BISKRA,biskra@angem.dz,033 51 53 55,033 51 53 56,BISKRA,33.1403736,5.5950663
8,BECHAR,Agence,CITE AISSET IDIR BECHAR,bechar@angem.dz,049 22 06 69,049 22 06 69,BECHAR,31.6238098,-2.2162443
9,BLIDA,Agence,CITE BOUNAAMA DJILALI BT 90 BLIDA,blida@angem.dz,025 22 95 26,025 22 95 25,BLIDA,36.4837822,2.8159605
10,BOUIRA,Agence,CITE 56 LGTS BT F ENTREE 02 A COTE DU STADE MUNICIPAL BOUROUBA-BOUIRA,bouira@angem.dz,026 72 02 72,026 72 02 72,BOUIRA,40.5204227,22.9716758
11,TAMANRASSET,Agence,CITE 104 LOGEMENTS SERSOUF TAMANRASSET,tamanrasset@angem.dz,029 31 41 70,029 31 55 55,TAMANRASSET,22.7902972,5.5193268
12,TEBESSA,Agence,CITE AADL BLOC 1 ER ETAGE-TEBESSA,tebessa@angem.dz,037 50 62 54,037 50 63 17,TEBESSA,35.4010797,8.1172958
13,TLEMCEN,Agence,CITE ENSEMBLE IMMOBILIER IMAMA ILOT 3 TELMCEN,tlemcen@angem.dz,043 38 20 33,043 38 22 05,TLEMCEN,34.8838296,-1.3486641
14,TIARET,Agence,"CITE SONATIBA LOT 02, SUPERPOSE N° 102 TIARET ",tiaret@angem.dz,046 20 87 14,046 20 87 13,TIARET,35.3604826,1.3402953
15,TIZI OUZOU,Agence,20 RUE KASRI AMAR TIZI-OUZOU,tiziouzou@angem.dz,026 19 42 36,026 19 42 35,TIZI OUZOU,36.7176251,4.0543623
16,ALGER OUEST,Agence,CITE 527 LOGTS AADL EL ACHOUR DRARIA ALGER,algerouest@angem.dz,021 33 37 02,021 33 37 02,ALGER OUEST,36.727023,2.998084
16,ALGER EST,Agence,"40,42 RUE LAARBI BNE M'HIDI ALGER CENTRE ",algerest@angem.dz,021 71 22 48,021 71 22 49,ALGER EST,36.7712246,3.0612244
17,DJELFA,Agence,CITE GUENANI BT A N° 2 (EX SIEGE DE BNA) DJELFA,djelfa@angem.dz,027 90 12 53,027 92 34 16,DJELFA,34.6703956,3.2503761
18,JIJEL,Agence,CITE ADMINISTRATIVE DE LA WILAYA DE JIJEL 2 EME ETAGE JIJEL,jijel@angem.dz,034 47 55 30,034 47 56 88,JIJEL,36.8210144,5.7634126
19,SETIF,Agence,CITE ADMINISTRATIVE AIN TEBINET EX SIEGE DE LA RADIO SETIF,setif@angem.dz,036 62 11 98,036 62 11 49,SETIF,36.1865569,5.4315964
20,SAIDA,Agence,BOULVARD FRANZ FANON EX MOHAFADAT DE SAIDA,saida@angem.dz,048 41 02 53,048 41 00 94,SAIDA,,
21,SKIKDA,Agence,BLOC ADMINISTRATIVE DE WILAYA CITE 300 LOGS MERDJ DIB SKIKDA,skidka@angem.dz,038 70 18 85,038 70 30 56,SKIKDA,36.8674847,6.9211614
22,S.B.A,Agence,08 RUE IBRAHIM TAYEB CHERFA Sidi Bel ABBBEs ,sba@angem.dz,048 77 67 49,048 77 65 18,S.B.A,35.1914492,-0.6458117
23,ANNABA,Agence,ANGLE SOUIDANI BOUDJEMAA BOUDJERAD HOCINE (EX CMS SIDER) ANNABA,annaba@angem.dz,038 47 92 47,038 47 92 48,ANNABA,36.9007591,7.7528551
24,GUELMA,Agence,CITE ADMINISTRATIVE 80 BUREAUX ROUTE DE SEDRATA GUELMA,guelma@angem.dz,037 14 05 72,037 14 71 64,GUELMA,36.4549533,7.4409199
25,CONSTANTINE,Agence,03 RUE BOUAALI SAID CONSTANTINE,constantine@angem.dz,031 87 10 09,031 87 14 10,CONSTANTINE,36.3539974,6.6049575
26,MEDEA,Agence,RUE FERRAH AHMED MEDEA,medea@angem.dz,025 59 98 96,025 59 25 40,MEDEA,36.2630335,2.7565749
27,MOSTAGANEM,Agence,CITE ADMINISTRATIVE DE LA WILAYA MOSTEGANEM,mostaganem@angem.dz,045 30 91 73,045 30 98 55,MOSTAGANEM,35.9301637,0.1045401
28,M'SILA,Agence,CITE ADMINISTRATIVE SIEGE DE LA DIRECTION DE L'EDUCATION - M'SILA,msila@angem.dz,035 55 66 15,035 55 30 50,M'SILA,35.714084,4.52536
29,MASCARA,Agence,RUE CHEMMOUM MOKHTAR MASCARA,mascara@angem.dz,045 71 89 98,045 71 89 36,MASCARA,,
30,OUARGLA,Agence,CENTRE COMMERCIAL SOUK EL HADJER OUARGLA,ouargla@angem.dz,029 76 78 65,029 76 00 02,OUARGLA,31.9527411,5.3335348
31,ORAN,Agence,EX BATI-ORAN EN FACE LYCEE HAMMOU BOUTELILIS GAMBETTA ORAN,oran@angem.dz,041 59 05 01,041 59 05 00,ORAN,35.7104335,-0.6192322
32,EL BAYADH,Agence,RUE HADJ IBRAHIM BELHOUARI EL BAYADH,elbayadh@angem.dz,049 61 35 70,049 61 38 47,EL BAYADH,33.6854149,1.0303543
33,ILLIZI,Agence,PLACE EL MAGHREB EL ARABI ILLIZI,illizi@angem.dz,029 41 16 10,029 41 16 10,ILLIZI,35.8563449,-0.3129069
34,B B A,Agence,"NOUVELLE CITE ADMINISTRATIVE DOUAR SOUK,SIEGE MAISON DE LA SOLIDARITE DE ASSOCIATIONS BORDJ BOU ARRERIDJ",bba@angem.dz,035 69 22 91,035 69 20 02,B B A,36.0739925,4.7630271
35,BOUMERDES,Agence,SIEGE DE LA WILAYA DE BOUMERDES,boumerdes@angem.dz,024 94 91 06,024 94 91 06,BOUMERDES,36.7539332,3.4725258
36,EL TARF,Agence,BLOC N°168 À COTE DE L'AGENCE FONCIERE EL TAREF,tarf@angem.dz,038 30 20 22,038 30 21 07,EL TARF,36.7576678,8.3076343
37,TINDOUF,Agence,43 LOGTS LOTFI TINDOUF,tindouf@angem.dz,049 38 73 64,049 38 73 64,TINDOUF,27.6719159,-8.1398003
38,TISSEMSILT,Agence,CITE 100 LOGTS ROUTE DE HAMADIA TISSEMSILT,tissemsilt@angem.dz,046 56 92 98,046 56 93 06,TISSEMSILT,35.6053781,1.813098
39,EL-OUED,Agence,CITE ADMINISTRATIVE EL CHOTT EL OUED,eloued@angem.dz,032 10 95 98,032 10 95 99,EL-OUED,33.367811,6.8516511
40,KHENCHELA,Agence,ROUTE DE MESKIANA KHENCHELA,khenchela@angem.dz,032 31 38 85,032 31 82 10,KHENCHELA,35.4300553,7.151359
41,SOUK AHRAS,Agence,CITE ADMINISTRATIVE 80 BUREAUX EL BORDJ EL KABIR SOUK AHRAS,soukahras@angem.dz,037 72 43 86,037 72 43 87,SOUK AHRAS,35.5152055,0.3004704
42,TIPAZA,Agence,ROUTE DE LA GENDARMERIE NATIONALE-TIPAZA,tipaza@angem.dz,024 37 70 36,024 37 70 38,TIPAZA,36.5906719,2.4433723
43,MILA,Agence,CITE BEN GUERBA FACE APW MILA,mila@angem.dz,031 47 48 16,031 47 47 44,MILA,47.25531,-122.4722265
44,AIN DEFLA,Agence,CITE ADMINISTRATIVE COMPLEXE 100 BUREAUX 14000 AIN DEFLA,aindefla@angem.dz,046 56 92 98,027 50 45 55,AIN DEFLA,36.2509429,1.9393815
45,NAAMA,Agence,CITE ADMINISTRATIVE 50 BUREAUX BT 146 NAAMA,naama@angem.dz,049 59 50 09,049 59 56 63,NAAMA,,
46,AIN TEMOUCHENT,Agence,AVENUE AMRO MOKDAD CITE MEDINA,aintemouchent@angem.dz,043 79 53 34,043 79 21 38,AIN TEMOUCHENT,38.588127,-90.2974157
47,GHARDAIA,Agence,CENTRE COMMERCIAL SIDI ABAZ GHARDAIA,ghardaia@angem.dz,029 83 73 22,029 25 63 03,GHARDAIA,32.4851756,3.6951311
48,RELIZANE,Agence,CITE 105 LOGEMENTS ROPEL RELIZANE,relizane@angem.dz,047 76 84 74,046 76 84 75,RELIZANE,35.7450263,0.5578837
