id,code,nom,type,address,e-mail,fax,tel,wilayas of attachment,lat,lon
19,15,TIZI OUZOU,Agence,20 RUE KASRI AMAR TIZI-OUZOU,tiziouzou@angem.dz,026 19 42 36,026 19 42 35,TIZI OUZOU,36.7176251,4.0543623
20,16,ALGER OUEST,Agence,CITE 527 LOGTS AADL EL ACHOUR DRARIA ALGER,algerouest@angem.dz,021 33 37 02,021 33 37 02,ALGER OUEST,36.727023,2.998084
21,16,ALGER EST,Agence,"40,42 RUE LAARBI BNE M'HIDI ALGER CENTRE ",algerest@angem.dz,021 71 22 48,021 71 22 49,ALGER EST,36.7712246,3.0612244
22,17,DJELFA,Agence,CITE GUENANI BT A N° 2 (EX SIEGE DE BNA) DJELFA,djelfa@angem.dz,027 90 12 53,027 92 34 16,DJELFA,34.6703956,3.2503761
23,17,DJELFA,Antenne,"Cité DAR EL BAROUD, Djelfa. (EX Siège de la CASNOS) DJELFA",ardjelfa@angem.dz,027 91 43 59,027 91 43 51,"Djelfa, Laghouat, Medea, M'Sila",34.6703956,3.2503761
24,18,JIJEL,Agence,CITE ADMINISTRATIVE DE LA WILAYA DE JIJEL 2 EME ETAGE JIJEL,jijel@angem.dz,034 47 55 30,034 47 56 88,JIJEL,36.8210144,5.7634126
25,19,SETIF,Agence,CITE ADMINISTRATIVE AIN TEBINET EX SIEGE DE LA RADIO SETIF,setif@angem.dz,036 62 11 98,036 62 11 49,SETIF,36.1865569,5.4315964
26,20,SAIDA,Agence,BOULVARD FRANZ FANON EX MOHAFADAT DE SAIDA,saida@angem.dz,048 41 02 53,048 41 00 94,SAIDA,34.8402816979014,0.157574073749028
27,21,SKIKDA,Agence,BLOC ADMINISTRATIVE DE WILAYA CITE 300 LOGS MERDJ DIB SKIKDA,skidka@angem.dz,038 70 18 85,038 70 30 56,SKIKDA,36.8674847,6.9211614
28,22,S.B.A,Agence,08 RUE IBRAHIM TAYEB CHERFA Sidi Bel ABBBEs ,sba@angem.dz,048 77 67 49,048 77 65 18,S.B.A,35.1914492,-0.6458117
29,22,SIDI BELLABES,Antenne,"Avenue Abbane Ramadane prolongée, cité 106 logts -Sidi Yacine SIDI BEL ABBES",arsba@angem.dz,048 76 14 06,048 76 14 05,"SBA, Mostaganem,Oran,Mascara, Ain Temouchent, Tlemcen",35.2105876,-0.629983
30,23,ANNABA,Antenne,Cité AADL 221 logs Bloc w24 S01 ET S02 sidi achour ANNABA,arannaba@angem.dz,038 47 93 12,038 47 93 12,"Annaba, El taref, Skikda, Souk Ahras, Guelma",36.878511,7.7146099
31,23,ANNABA,Agence,ANGLE SOUIDANI BOUDJEMAA BOUDJERAD HOCINE (EX CMS SIDER) ANNABA,annaba@angem.dz,038 47 92 47,038 47 92 48,ANNABA,36.9007591,7.7528551
32,24,GUELMA,Agence,CITE ADMINISTRATIVE 80 BUREAUX ROUTE DE SEDRATA GUELMA,guelma@angem.dz,037 14 05 72,037 14 71 64,GUELMA,36.4549533,7.4409199
33,25,CONSTANTINE,Antenne,204 logements SOREM tour C2 Nouvelle Ville Ali Mendjeli CONSTANTINE,arconstantine@angem.dz,031 74 74 60,031 74 74 64,"Constantine, Jijel, Mila, O E B, Batna",36.2570374,6.5831384
34,25,CONSTANTINE,Agence,03 RUE BOUAALI SAID CONSTANTINE,constantine@angem.dz,031 87 10 09,031 87 14 10,CONSTANTINE,36.3539974,6.6049575
35,26,MEDEA,Agence,RUE FERRAH AHMED MEDEA,medea@angem.dz,025 59 98 96,025 59 25 40,MEDEA,36.2630335,2.7565749
36,27,MOSTAGANEM,Agence,CITE ADMINISTRATIVE DE LA WILAYA MOSTEGANEM,mostaganem@angem.dz,045 30 91 73,045 30 98 55,MOSTAGANEM,35.9301637,0.1045401
37,28,M'SILA,Agence,CITE ADMINISTRATIVE SIEGE DE LA DIRECTION DE L'EDUCATION - M'SILA,msila@angem.dz,035 55 66 15,035 55 30 50,M'SILA,35.714084,4.52536
38,29,MASCARA,Agence,RUE CHEMMOUM MOKHTAR MASCARA,mascara@angem.dz,045 71 89 98,045 71 89 36,MASCARA,35.3962598571771,0.143469146371643
39,30,OUARGLA,Agence,CENTRE COMMERCIAL SOUK EL HADJER OUARGLA,ouargla@angem.dz,029 76 78 65,029 76 00 02,OUARGLA,31.9527411,5.3335348
40,30,OUARGLA,Antenne,Ex CENTRE COMMERCIALE OUARGLA,arouargla@angem.dz,029.76 44 97,029.76 93 10,"Ouargla, Ghardaia, Illizi, Tamanrasset",31.9416083,5.3068146
41,31,ORAN,Agence,EX BATI-ORAN EN FACE LYCEE HAMMOU BOUTELILIS GAMBETTA ORAN,oran@angem.dz,041 59 05 01,041 59 05 00,ORAN,35.7104335,-0.6192322
42,32,EL BAYADH,Agence,RUE HADJ IBRAHIM BELHOUARI EL BAYADH,elbayadh@angem.dz,049 61 35 70,049 61 38 47,EL BAYADH,33.6854149,1.0303543
43,33,ILLIZI,Agence,PLACE EL MAGHREB EL ARABI ILLIZI,illizi@angem.dz,029 41 16 10,029 41 16 10,ILLIZI,26.4978821773703,8.47693912162404
44,34,B B A,Agence,"NOUVELLE CITE ADMINISTRATIVE DOUAR SOUK,SIEGE MAISON DE LA SOLIDARITE DE ASSOCIATIONS BORDJ BOU ARRERIDJ",bba@angem.dz,035 69 22 91,035 69 20 02,B B A,36.0739925,4.7630271
45,35,BOUMERDES,Agence,SIEGE DE LA WILAYA DE BOUMERDES,boumerdes@angem.dz,024 94 91 06,024 94 91 06,BOUMERDES,36.7539332,3.4725258
46,36,EL TARF,Agence,BLOC N°168 À COTE DE L'AGENCE FONCIERE EL TAREF,tarf@angem.dz,038 30 20 22,038 30 21 07,EL TARF,36.7651079708963,8.31868290906875
47,37,TINDOUF,Agence,43 LOGTS LOTFI TINDOUF,tindouf@angem.dz,049 38 73 64,049 38 73 64,TINDOUF,27.6719159,-8.1398003
48,38,TISSEMSILT,Agence,CITE 100 LOGTS ROUTE DE HAMADIA TISSEMSILT,tissemsilt@angem.dz,046 56 92 98,046 56 93 06,TISSEMSILT,35.6053781,1.813098
49,39,EL-OUED,Agence,CITE ADMINISTRATIVE EL CHOTT EL OUED,eloued@angem.dz,032 10 95 98,032 10 95 99,EL-OUED,33.367811,6.8516511
50,40,KHENCHELA,Agence,ROUTE DE MESKIANA KHENCHELA,khenchela@angem.dz,032 31 38 85,032 31 82 10,KHENCHELA,35.4300553,7.151359
51,41,SOUK AHRAS,Agence,CITE ADMINISTRATIVE 80 BUREAUX EL BORDJ EL KABIR SOUK AHRAS,soukahras@angem.dz,037 72 43 86,037 72 43 87,SOUK AHRAS,36.2797002629441,7.93647370091836
52,42,TIPAZA,Agence,ROUTE DE LA GENDARMERIE NATIONALE-TIPAZA,tipaza@angem.dz,024 37 70 36,024 37 70 38,TIPAZA,36.5906719,2.4433723
53,42,TIPAZA,Antenne,ROUTE DE LA GENDARMERIE NATIONALE TIPAZA,artipaza@angem.dz,024 37 70 34,023 37 70 35,"Tipaza, Alger-Est, Alger-Ouest, Blida, Boumerdes",36.5906719,2.4433723
54,43,MILA,Agence,CITE BEN GUERBA FACE APW MILA,mila@angem.dz,031 47 48 16,031 47 47 44,MILA,36.4482192850171,6.26544337924011
55,44,AIN DEFLA,Agence,CITE ADMINISTRATIVE COMPLEXE 100 BUREAUX 14000 AIN DEFLA,aindefla@angem.dz,046 56 92 98,027 50 45 55,AIN DEFLA,36.2509429,1.9393815
56,45,NAAMA,Agence,CITE ADMINISTRATIVE 50 BUREAUX BT 146 NAAMA,naama@angem.dz,049 59 50 09,049 59 56 63,NAAMA,33.2673195039004,-0.309290977807028
57,46,AIN TEMOUCHENT,Agence,AVENUE AMRO MOKDAD CITE MEDINA,aintemouchent@angem.dz,043 79 53 34,043 79 21 38,AIN TEMOUCHENT,35.3038122480898,-1.13997868702802
58,47,GHARDAIA,Agence,CENTRE COMMERCIAL SIDI ABAZ GHARDAIA,ghardaia@angem.dz,029 83 73 22,029 25 63 03,GHARDAIA,32.4851756,3.6951311
59,48,RELIZANE,Agence,CITE 105 LOGEMENTS ROPEL RELIZANE,relizane@angem.dz,047 76 84 74,046 76 84 75,RELIZANE,35.7450263,0.5578837
